City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
384,nador,35.174,-2.9287,55.65,62,20,17.27,MA,1675994682
385,kijang,35.2442,129.2139,38.93,88,100,7.16,KR,1675994683
386,laguna,38.421,-121.4238,59.61,67,0,3.44,US,1675994683
387,athabasca,54.7169,-113.2854,32.41,90,100,5.32,CA,1675994684
388,sioux lookout,50.1001,-91.917,14.07,79,100,16.11,CA,1675994684
389,atar,20.5169,-13.0499,66.97,55,100,13.2,MR,1675994684
390,tura,25.5198,90.2201,63.57,54,0,1.95,IN,1675994685
391,ariquemes,-9.9133,-63.0408,72.37,98,96,0.89,BR,1675994454
392,saint albans,51.75,-0.3333,36.3,92,35,8.05,GB,1675994605
393,fukue,32.6881,128.8419,50.36,93,75,21.85,JP,1675994686
394,kasangulu,-4.5911,15.1708,76.08,91,64,2.46,CD,1675994686
395,tsevie,6.4261,1.2133,81.48,79,33,5.46,TG,1675994687
396,dingle,10.9995,122.6711,81.41,75,100,12.91,PH,1675994687
397,mezen,65.8522,44.24,30.18,92,100,13.42,RU,1675994688
398,praia da vitoria,38.7333,-27.0667,55.65,76,75,13.04,PT,1675994688
399,bavleny,56.4,39.56,24.49,92,98,12.91,RU,1675994689
400,maceio,-9.6658,-35.7353,76.44,94,0,3.44,BR,1675994689
401,bad doberan,54.1071,11.9005,36.97,91,99,19.33,DE,1675994690
402,gawler,-34.6,138.7333,77.47,60,0,13.35,AU,1675994690
403,mastic beach,40.7668,-72.8521,54.54,93,100,13.8,US,1675994691
404,tazovskiy,67.4667,78.7,2.48,93,100,15.35,RU,1675994691
405,vao,-22.6667,167.4833,78.8,83,100,13.76,NC,1675994691
406,pareora,-44.4871,171.2132,67.17,63,59,12.17,NZ,1675994692
407,oruro,-17.9833,-67.15,49.21,72,59,8.43,BO,1675994693
408,mutare,-18.9707,32.6709,63.27,96,93,1.77,ZW,1675994693
409,vallenar,-28.5708,-70.7581,72.23,59,0,3.11,CL,1675994535
410,leningradskiy,69.3833,178.4167,-29.07,98,83,6.51,RU,1675994694
411,ambilobe,-13.2,49.05,71.69,94,100,2.73,MG,1675994694
412,cabo san lucas,22.8909,-109.9124,64.99,65,3,5.26,MX,1675994440
413,sinegorye,62.0788,150.477,-27.11,97,91,2.59,RU,1675994695
414,sao filipe,14.8961,-24.4956,68.59,82,71,10.58,CV,1675994695
415,gangoh,29.7667,77.25,56.44,52,52,7.56,IN,1675994696
416,pacific grove,36.6177,-121.9166,59.45,82,4,8.99,US,1675994696
417,bundaberg,-24.85,152.35,88.21,56,30,8.99,AU,1675994696
418,bay roberts,47.5999,-53.2648,17.33,74,99,8.01,CA,1675994697
419,kargil,34.5667,76.1,17.76,90,100,7.09,IN,1675994697
420,korkmaskala,43.0238,47.2944,18.77,91,33,0.65,RU,1675994698
421,menzelinsk,55.7271,53.1026,10.72,96,80,11.7,RU,1675994698
422,wanning,18.8003,110.3967,77.11,79,85,7.0,CN,1675994699
423,rock sound,24.9,-76.2,75.31,66,0,18.95,BS,1675994699
424,clinton,42.587,-82.9199,43.29,84,75,11.5,US,1675994700
425,asilah,35.465,-6.0348,57.16,74,80,21.54,MA,1675994700
426,lebedinyy,58.5167,125.5167,-3.41,90,93,3.78,RU,1675994700
427,mildura,-34.2,142.15,99.07,19,0,25.12,AU,1675994701
428,lukovetskiy,64.2956,41.9211,28.87,91,100,11.68,RU,1675994701
429,husavik,66.0449,-17.3389,18.73,72,100,15.41,IS,1675994710
430,bitung,1.4451,125.1824,85.05,70,91,8.32,ID,1675994716
431,martapura,-3.4167,114.85,77.09,83,20,9.22,ID,1675994719
432,hondo,32.45,130.2,56.08,87,99,10.09,JP,1675994721
433,vrangel,42.7297,133.0839,23.67,91,100,4.92,RU,1675994724
434,senador jose porfirio,-2.5908,-51.9542,74.07,96,92,2.66,BR,1675994725
435,namatanai,-3.6667,152.4333,82.92,75,100,11.18,PG,1675994727
436,rocha,-34.4833,-54.3333,65.39,95,0,5.03,UY,1675994729
437,balaipungut,1.05,101.2833,74.68,96,100,0.78,ID,1675994731
438,gorontalo,0.5412,123.0595,84.67,59,100,5.5,ID,1675994735
439,ankpa,7.3706,7.6253,74.77,22,31,3.42,NG,1675994736
440,nichinan,31.6,131.3667,58.68,94,100,6.93,JP,1675994736
441,palampur,32.1167,76.5333,45.07,73,59,7.43,IN,1675994737
442,yei,4.095,30.6779,70.36,33,13,0.25,SS,1675994738
443,colquechaca,-18.6667,-66.0167,35.2,87,84,3.8,BO,1675994739
444,maroantsetra,-15.4333,49.7333,72.48,91,93,3.33,MG,1675994740
445,puerto del rosario,28.5004,-13.8627,62.35,55,0,6.91,ES,1675994738
446,yar-sale,66.8333,70.8333,15.76,92,100,18.05,RU,1675994741
447,pasighat,28.0667,95.3333,62.17,72,98,1.05,IN,1675994741
